,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,layers_num,seq_sz
0,1,1,6,6,779,591,483,487,ModelType.GRU,0.001,20,0,2,35
1,1,2,5,5,281,204,509,997,ModelType.GRU,0.001,20,0,2,35
2,1,3,5,5,155,158,485,1484,ModelType.GRU,0.001,20,0,2,35
3,1,4,4,4,113,141,484,1969,ModelType.GRU,0.001,20,0,2,35
4,1,5,4,4,91,133,494,2465,ModelType.GRU,0.001,20,0,2,35
5,1,6,4,4,77,130,500,2966,ModelType.GRU,0.001,20,0,2,35
6,1,7,4,4,66,129,483,3450,ModelType.GRU,0.001,20,0,2,35
7,1,8,4,4,59,131,463,3915,ModelType.GRU,0.001,20,0,2,35
8,1,9,3,4,53,134,470,4386,ModelType.GRU,0.001,20,0,2,35
9,1,10,3,4,48,139,834,5221,ModelType.GRU,0.001,20,0,2,35
10,1,11,3,4,44,144,467,5690,ModelType.GRU,0.001,20,0,2,35
11,1,12,3,5,41,149,470,6161,ModelType.GRU,0.001,20,0,2,35
12,1,13,3,5,38,154,897,7059,ModelType.GRU,0.001,20,0,2,35
13,1,14,3,5,35,160,468,7528,ModelType.GRU,0.001,20,0,2,35
14,1,15,3,5,33,165,481,8011,ModelType.GRU,0.001,20,0,2,35
15,1,16,3,5,32,171,750,8762,ModelType.GRU,0.001,20,0,2,35
16,1,17,3,5,30,177,475,9239,ModelType.GRU,0.001,20,0,2,35
17,1,18,3,5,28,183,474,9714,ModelType.GRU,0.001,20,0,2,35
18,1,19,3,5,27,188,809,10525,ModelType.GRU,0.001,20,0,2,35
