,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,layers_num
0,2,1,6.033515533110928,5.4822031616145726,417.17906125091696,240.37571095954192,811.176319360733,819.6322634220123,ModelType.LSTM,0.001,20,0,2
1,2,2,5.284200329841665,5.208020454797989,197.19642828148744,182.73197372882527,789.1352159976959,1610.6434330940249,ModelType.LSTM,0.001,20,0,2
2,2,3,5.006110171581806,5.089006260928945,149.32276506399035,162.22856905767253,1315.231868982315,2927.933794260025,ModelType.LSTM,0.001,20,0,2
3,2,4,4.827720581002943,5.021861614325108,124.9258774478828,151.6934357751679,1878.2966358661647,4808.35274887085,ModelType.LSTM,0.001,20,0,2
4,2,5,4.691197460543957,4.98277511759701,108.98360526940702,145.8786508578933,1016.2168381214142,5827.225483179092,ModelType.LSTM,0.001,20,0,2
0,2,6,4.721579258659323,4.96941434012519,112.34553530285812,143.94256129770167,743.6690626144409,747.3796632289886,ModelType.LSTM,0.001,20,0,2
0,2,7,4.690174812109918,4.970033983898978,108.87221032478335,144.0317820492798,735.2357215881348,738.7095968723297,ModelType.LSTM,0.001,20,0,2
0,2,8,4.652561879283788,4.98444629734398,104.85326318575284,146.12264412624037,711.3582813739777,715.618988275528,ModelType.LSTM,0.001,20,0,2
0,2,9,4.61866089268205,4.987020215417584,101.35821168776268,146.49923629169837,770.3713867664337,804.4310257434845,ModelType.LSTM,0.001,20,0,2
0,2,10,4.153018927574157,5.176535076565212,63.62579230819149,177.06821902952723,55.282156467437744,62.49276924133301,ModelType.LSTM,0.001,20,0,2
