,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,seq_sz,w_decay,grad_clip
0,1,1,6.0083459457138,5.442484458287557,406,231,16,16,GRU,0.001,20,0.3,20,6e-05,2
1,1,2,5.299020150792635,5.180248032675849,200,177,16,34,GRU,0.001,20,0.3,20,6e-05,2
2,1,3,5.08546056349217,5.041970745722453,161,154,16,51,GRU,0.001,20,0.3,20,6e-05,2
3,1,4,4.9627912846096,4.9509590254889595,142,141,16,68,GRU,0.001,20,0.3,20,6e-05,2
4,1,5,4.875005669086799,4.896534421708849,130,133,16,86,GRU,0.001,20,0.3,20,6e-05,2
5,1,6,4.811331555394843,4.859404214223226,122,128,16,103,GRU,0.001,20,0.3,20,6e-05,2
6,1,7,4.762997267423803,4.829778941472371,117,125,16,121,GRU,0.001,20,0.3,20,6e-05,2
7,1,8,4.725694075669392,4.809803136189779,112,122,16,138,GRU,0.001,20,0.3,20,6e-05,2
8,1,9,4.695026935814682,4.789083769586351,109,120,16,155,GRU,0.001,20,0.3,20,6e-05,2
9,1,10,4.668322789992334,4.773040914535523,106,118,16,173,GRU,0.001,20,0.3,20,6e-05,2
10,1,11,4.646778209836535,4.7570882929695975,104,116,16,190,GRU,0.001,20,0.3,20,6e-05,2
11,1,12,4.626903858874514,4.747203368610806,102,115,16,208,GRU,0.001,20,0.3,20,6e-05,2
12,1,13,4.610613195433269,4.7345167345470855,100,113,16,225,GRU,0.001,20,0.3,20,6e-05,2
13,1,14,4.595229172367912,4.727790488137139,99,113,16,242,GRU,0.001,20,0.3,20,6e-05,2
14,1,15,4.580689674197627,4.7148690011766226,97,111,16,260,GRU,0.001,20,0.3,20,6e-05,2
15,1,16,4.569501153159337,4.709263473086887,96,110,16,277,GRU,0.001,20,0.3,20,6e-05,2
16,1,17,4.557603600925276,4.698007893562317,95,109,16,295,GRU,0.001,20,0.3,20,6e-05,2
17,1,18,4.548457624580754,4.690389039781358,94,108,16,313,GRU,0.001,20,0.3,20,6e-05,2
18,1,19,4.538282474874167,4.687051465776231,93,108,16,330,GRU,0.001,20,0.3,20,6e-05,2
19,1,20,4.53122349253411,4.682653496000502,92,108,16,347,GRU,0.001,20,0.3,20,6e-05,2
20,1,21,4.522537017043069,4.676964460478889,92,107,16,365,GRU,0.001,20,0.3,20,6e-05,2
21,1,22,4.515783276683136,4.671068424648709,91,106,16,382,GRU,0.001,20,0.3,20,6e-05,2
22,1,23,4.509102689362886,4.670132472780016,90,106,16,400,GRU,0.001,20,0.3,20,6e-05,2
23,1,24,4.502094031509222,4.662747640079922,90,105,16,417,GRU,0.001,20,0.3,20,6e-05,2
24,1,25,4.497539208153944,4.659898463884989,89,105,16,435,GRU,0.001,20,0.3,20,6e-05,2
25,1,26,4.491321035156053,4.654108550813463,89,105,16,452,GRU,0.001,20,0.3,20,6e-05,2
26,1,27,4.486545086522786,4.6505961232715185,88,104,16,470,GRU,0.001,20,0.3,20,6e-05,2
27,1,28,4.481592384638891,4.649886873033312,88,104,16,487,GRU,0.001,20,0.3,20,6e-05,2
28,1,29,4.476583278543519,4.648599349127876,87,104,16,505,GRU,0.001,20,0.3,20,6e-05,2
29,1,30,4.471943061104429,4.64684558974372,87,104,16,522,GRU,0.001,20,0.3,20,6e-05,2
30,1,31,4.4685493110840655,4.638850540584988,87,103,16,539,GRU,0.001,20,0.3,20,6e-05,2
31,1,32,4.464555130505737,4.639076524310642,86,103,16,557,GRU,0.001,20,0.3,20,6e-05,2
32,1,33,4.461130883023496,4.633627400133345,86,102,16,574,GRU,0.001,20,0.3,20,6e-05,2
33,1,34,4.456209798645368,4.631941448317634,86,102,16,592,GRU,0.001,20,0.3,20,6e-05,2
34,1,35,4.452572300164185,4.628243438402811,85,102,16,609,GRU,0.001,20,0.3,20,6e-05,2
35,1,36,4.451659304080623,4.627516396840414,85,102,16,627,GRU,0.001,20,0.3,20,6e-05,2
36,1,37,4.448500641142557,4.622759442859226,85,101,16,644,GRU,0.001,20,0.3,20,6e-05,2
37,1,38,4.445585640555459,4.626265957620409,85,102,16,662,GRU,0.001,20,0.3,20,6e-05,2
38,1,39,4.442695788355978,4.62364383538564,85,101,16,679,GRU,0.001,20,0.3,20,6e-05,2
39,1,40,4.440116824746593,4.625454629792108,84,102,16,696,GRU,0.001,20,0.3,20,6e-05,2
