,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,seq_sz,w_decay,grad_clip
0,2,1,6.114595389851252,5.675589818954467,452,291,13,13,LSTM,0.001,20,0,35,6e-05,1
1,2,2,5.459959511659877,5.379739847183227,235,216,13,28,LSTM,0.001,20,0,35,6e-05,1
2,2,3,5.220388328391264,5.244732937812805,185,189,13,43,LSTM,0.001,20,0,35,6e-05,1
3,2,4,5.076791642928537,5.162081718444824,160,174,13,57,LSTM,0.001,20,0,35,6e-05,1
4,2,5,4.973930435425012,5.097064337730408,144,163,13,72,LSTM,0.001,20,0,35,6e-05,1
5,2,6,4.895404695296701,5.045241265296936,133,155,13,87,LSTM,0.001,20,0,35,6e-05,1
6,2,7,4.833561001456403,5.000013747215271,125,148,13,101,LSTM,0.001,20,0,35,6e-05,1
7,2,8,4.781330714840231,4.972508587837219,119,144,13,116,LSTM,0.001,20,0,35,6e-05,1
8,2,9,4.738165470560242,4.9476872110366825,114,140,13,131,LSTM,0.001,20,0,35,6e-05,1
9,2,10,4.700412456488016,4.921987566947937,109,137,13,145,LSTM,0.001,20,0,35,6e-05,1
10,2,11,4.668521555186935,4.909040341377258,106,135,13,160,LSTM,0.001,20,0,35,6e-05,1
11,2,12,4.638680420338703,4.896436476707459,103,133,13,175,LSTM,0.001,20,0,35,6e-05,1
12,2,13,4.6125517617335605,4.879481949806213,100,131,13,189,LSTM,0.001,20,0,35,6e-05,1
13,2,14,4.588629815662904,4.867716717720032,98,130,13,204,LSTM,0.001,20,0,35,6e-05,1
14,2,15,4.568155661506049,4.8667606925964355,96,129,13,219,LSTM,0.001,20,0,35,6e-05,1
15,2,16,4.549349653334571,4.862580471038818,94,129,13,233,LSTM,0.001,20,0,35,6e-05,1
16,2,17,4.532045040798978,4.863756332397461,92,129,13,248,LSTM,0.001,20,0,35,6e-05,1
17,2,18,4.51575273791919,4.851930069923401,91,127,13,263,LSTM,0.001,20,0,35,6e-05,1
18,2,19,4.50013903648043,4.840248608589173,90,126,13,277,LSTM,0.001,20,0,35,6e-05,1
19,2,20,4.485103945132027,4.838051190376282,88,126,13,292,LSTM,0.001,20,0,35,6e-05,1
20,2,21,4.471997961929712,4.837188010215759,87,126,13,307,LSTM,0.001,20,0,35,6e-05,1
21,2,22,4.461929898200937,4.833391942977905,86,125,13,321,LSTM,0.001,20,0,35,6e-05,1
22,2,23,4.45072623330485,4.832926077842712,85,125,13,336,LSTM,0.001,20,0,35,6e-05,1
23,2,24,4.442801872769422,4.8325801181793215,85,125,13,351,LSTM,0.001,20,0,35,6e-05,1
24,2,25,4.431902205396076,4.829225878715516,84,125,13,365,LSTM,0.001,20,0,35,6e-05,1
25,2,26,4.422661990443835,4.827141361236572,83,124,13,380,LSTM,0.001,20,0,35,6e-05,1
26,2,27,4.413958178127091,4.828662538528443,82,125,13,395,LSTM,0.001,20,0,35,6e-05,1
27,2,28,4.407535458832822,4.827945990562439,82,124,13,409,LSTM,0.001,20,0,35,6e-05,1
28,2,29,4.401316983410534,4.829514470100403,81,125,13,424,LSTM,0.001,20,0,35,6e-05,1
29,2,30,4.394844862421204,4.827274856567382,81,124,13,439,LSTM,0.001,20,0,35,6e-05,1
30,2,31,4.387160533338718,4.826812434196472,80,124,13,453,LSTM,0.001,20,0,35,6e-05,1
31,2,32,4.380532029345239,4.8318205833435055,79,125,13,468,LSTM,0.001,20,0,35,6e-05,1
32,2,33,4.375067505516679,4.828933992385864,79,125,13,483,LSTM,0.001,20,0,35,6e-05,1
33,2,34,4.370528751867735,4.826294150352478,79,124,13,497,LSTM,0.001,20,0,35,6e-05,1
34,2,35,4.364363879122587,4.82999171257019,78,125,13,512,LSTM,0.001,20,0,35,6e-05,1
35,2,36,4.360918606684095,4.836606960296631,78,126,13,527,LSTM,0.001,20,0,35,6e-05,1
36,2,37,4.357813681708122,4.844593672752381,78,127,13,541,LSTM,0.001,20,0,35,6e-05,1
37,2,38,4.355173986121597,4.848661732673645,77,127,13,556,LSTM,0.001,20,0,35,6e-05,1
38,2,39,4.3518627706828115,4.853504424095154,77,128,13,571,LSTM,0.001,20,0,35,6e-05,1
39,2,40,4.346490117420176,4.849713582992553,77,127,13,585,LSTM,0.001,20,0,35,6e-05,1
