,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,seq_sz,w_decay,grad_clip
0,4,1,6.138932797493356,5.657908380031586,463,286,16,16,LSTM,0.001,20,0.4,22,1e-05,5
1,4,2,5.562136669953664,5.365015009045601,260,213,16,33,LSTM,0.001,20,0.4,22,1e-05,5
2,4,3,5.325037399927775,5.2020883649587635,205,181,16,51,LSTM,0.001,20,0.4,22,1e-05,5
3,4,4,5.1711380407214165,5.09835284948349,176,163,16,68,LSTM,0.001,20,0.4,22,1e-05,5
4,4,5,5.05919556861574,5.022509589791298,157,151,16,86,LSTM,0.001,20,0.4,22,1e-05,5
5,4,6,4.972153810840664,4.9607691943645476,144,142,16,103,LSTM,0.001,20,0.4,22,1e-05,5
6,4,7,4.903419589454478,4.915193715691567,134,136,16,121,LSTM,0.001,20,0.4,22,1e-05,5
7,4,8,4.847406774081967,4.879889589548111,127,131,16,138,LSTM,0.001,20,0.4,22,1e-05,5
8,4,9,4.799656334925782,4.850940689444542,121,127,16,156,LSTM,0.001,20,0.4,22,1e-05,5
9,4,10,4.757686891000379,4.826827332377434,116,124,16,173,LSTM,0.001,20,0.4,22,1e-05,5
10,4,11,4.723492548434121,4.804835081100464,112,122,16,190,LSTM,0.001,20,0.4,22,1e-05,5
11,4,12,4.690746715913217,4.785081326961517,108,119,16,208,LSTM,0.001,20,0.4,22,1e-05,5
12,4,13,4.664053842764009,4.7727810621261595,106,118,16,225,LSTM,0.001,20,0.4,22,1e-05,5
13,4,14,4.6387861819204055,4.758309245109558,103,116,16,243,LSTM,0.001,20,0.4,22,1e-05,5
14,4,15,4.616418920908913,4.744338002800942,101,114,16,260,LSTM,0.001,20,0.4,22,1e-05,5
15,4,16,4.597814357303308,4.7336913585662845,99,113,16,278,LSTM,0.001,20,0.4,22,1e-05,5
16,4,17,4.580172915237419,4.722977495193481,97,112,16,295,LSTM,0.001,20,0.4,22,1e-05,5
17,4,18,4.563369033463074,4.717197522521019,95,111,16,313,LSTM,0.001,20,0.4,22,1e-05,5
18,4,19,4.5500254914390315,4.704882428050041,94,110,16,330,LSTM,0.001,20,0.4,22,1e-05,5
19,4,20,4.535820128904148,4.700696581602097,93,110,16,347,LSTM,0.001,20,0.4,22,1e-05,5
20,4,21,4.522696170165683,4.695576876401901,92,109,16,365,LSTM,0.001,20,0.4,22,1e-05,5
21,4,22,4.511134171237548,4.6880184471607205,91,108,16,382,LSTM,0.001,20,0.4,22,1e-05,5
22,4,23,4.502597513862631,4.684112885594368,90,108,16,400,LSTM,0.001,20,0.4,22,1e-05,5
23,4,24,4.490837237825899,4.67074262201786,89,106,16,417,LSTM,0.001,20,0.4,22,1e-05,5
24,4,25,4.482491009050246,4.667285117506981,88,106,16,435,LSTM,0.001,20,0.4,22,1e-05,5
25,4,26,4.474370149387554,4.6630645185709,87,105,16,452,LSTM,0.001,20,0.4,22,1e-05,5
26,4,27,4.466711882614728,4.659183937311172,87,105,16,470,LSTM,0.001,20,0.4,22,1e-05,5
27,4,28,4.457776796750047,4.654294219613075,86,105,16,487,LSTM,0.001,20,0.4,22,1e-05,5
28,4,29,4.450369131836024,4.652147915959358,85,104,16,505,LSTM,0.001,20,0.4,22,1e-05,5
29,4,30,4.444048654965379,4.647069069743156,85,104,16,522,LSTM,0.001,20,0.4,22,1e-05,5
30,4,31,4.43698694861748,4.646167996525764,84,104,16,540,LSTM,0.001,20,0.4,22,1e-05,5
31,4,32,4.431476047206106,4.640643453598022,84,103,16,557,LSTM,0.001,20,0.4,22,1e-05,5
32,4,33,4.426723700919838,4.6379354238510135,83,103,16,575,LSTM,0.001,20,0.4,22,1e-05,5
33,4,34,4.421317535142104,4.635788983106613,83,103,16,592,LSTM,0.001,20,0.4,22,1e-05,5
34,4,35,4.4148100752270585,4.634097552299499,82,102,16,609,LSTM,0.001,20,0.4,22,1e-05,5
35,4,36,4.409641910231475,4.631272771954537,82,102,16,627,LSTM,0.001,20,0.4,22,1e-05,5
36,4,37,4.404187916016037,4.627902032434941,81,102,16,644,LSTM,0.001,20,0.4,22,1e-05,5
37,4,38,4.4012530836643595,4.62782526165247,81,102,16,662,LSTM,0.001,20,0.4,22,1e-05,5
38,4,39,4.3967235951938415,4.625454354286194,81,102,16,679,LSTM,0.001,20,0.4,22,1e-05,5
39,4,40,4.392118052889903,4.622085385024548,80,101,16,697,LSTM,0.001,20,0.4,22,1e-05,5
